query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
подсолнечно,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.819229054142269
кириеншк,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.25,5.908340947026343
фитача,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.375,6.478384374280203
капу,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,6.197017393613406
корм мей кун,9,фраза с искажением,12,3,3.3333333333333335,0.0,0.0,0.3,1,0.6666666666666666,0.25,6.35607329205692
три,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.295984421283421
вода фрукты,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.034029919980089
сендгв,2,искажённое слово,6,1,6.0,0.0,0.0,0.16666666666666666,1,0.0,0.5,7.00526501170379
творожки детские агуша,7,норма · фраза,22,3,6.666666666666667,0.0,0.0,0.45,1,1.0,0.0,6.122611761583246
kinder,0,латиница,6,1,6.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
яйч,2,искажённое слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,0.0,0.5,9.344478708610119
соль,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.320067143493033
бизнес лан,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.143300017483058
липтон о 5,9,фраза с искажением,10,2,3.5,0.0,0.1,0.42857142857142855,1,0.5,0.3333333333333333,5.825233323572958
кофе poetti,4,норма · удвоенная буква,11,2,5.0,0.6,0.0,0.5,2,1.0,0.0,5.243687673314304
торт медовик,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.281582870180407
полиморфизм,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.36363636363636365,1,1.0,0.0,6.0757195673035795
напо,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.25,5.497153248547304
листья нори,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.859213606677048
чай в пакет,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,7.355862544909762
растворимый кофейный напиток monarch раф со вк,7,норма · фраза,46,7,5.714285714285714,0.175,0.0,0.36363636363636365,1,0.8571428571428571,0.3333333333333333,6.1717885345995604
кока е о,1,норма · 2 слова,8,3,2.0,0.0,0.0,0.6666666666666666,1,1.0,0.0,6.376194028715848
хлеб цельнозерный,9,фраза с искажением,17,2,8.0,0.0,0.0,0.3125,1,0.5,0.21428571428571427,6.137779448490519
заготовка шакшука,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,6.537317033197471
карбонад,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,5.851641603729485
